corridor,locality,bhk,sqft,bathrooms,floor,parking,gym,swimming_pool,garden,security,clubhouse,amenities_score,price_lakhs
dehu_solapur,Loni Kalbhor,3,1357,3,10,0,0,0,1,0,0,1,67.19
dehu_solapur,Hadapsar,1,507,1,24,1,0,1,1,1,1,5,43.62
dehu_solapur,Uruli Kanchan,1,457,1,6,1,0,0,1,1,1,4,25.09
kolhapur_nashik,Alandi,1,461,1,13,1,1,0,1,1,0,4,20.09
kolhapur_nashik,Moshi,4,2071,3,17,1,0,0,0,1,1,3,108.62
dehu_solapur,Ravet,3,1153,3,2,0,1,1,1,0,0,3,74.65
dehu_solapur,Loni Kalbhor,3,1116,3,0,1,0,0,0,1,1,3,62.19
dehu_solapur,Manjri,2,834,1,3,0,1,1,0,1,1,4,50.49
kolhapur_nashik,Chakan,2,937,2,11,1,0,1,1,1,0,4,50.01
dehu_solapur,Uruli Kanchan,2,792,2,7,1,1,0,1,1,1,5,39.12
dehu_solapur,Dehu Road,2,1048,1,16,1,0,1,0,1,1,4,58.27
kolhapur_nashik,Chakan,2,778,2,5,1,0,0,1,0,1,3,51.14
kolhapur_nashik,Alandi,3,1405,2,2,0,0,1,1,1,0,3,68.66
dehu_solapur,Kiwale,3,1235,3,17,0,0,1,0,0,1,2,68.84
dehu_solapur,Baner,4,1739,4,18,0,0,0,0,0,1,1,189.91
dehu_solapur,Kiwale,2,864,1,15,0,1,1,1,1,1,5,65.12
dehu_solapur,Ravet,3,1497,2,12,1,0,1,1,0,0,3,87.98
dehu_solapur,Wakad,1,590,1,16,1,0,1,1,0,0,3,55.17
kolhapur_nashik,Moshi,4,1986,3,22,1,1,1,1,0,0,4,122.87
dehu_solapur,Kiwale,2,1116,2,0,1,0,1,1,1,1,5,67.74
dehu_solapur,Wakad,3,1639,2,11,0,1,1,1,0,1,4,164.75
dehu_solapur,Hadapsar,2,966,1,4,1,0,1,0,1,1,4,107.62
kolhapur_nashik,Balewadi,1,541,1,18,1,1,1,0,0,0,3,52.56
dehu_solapur,Kiwale,2,909,2,15,1,0,0,1,0,1,3,53.63
dehu_solapur,Baner,1,605,1,3,1,1,1,0,0,1,4,68.57
dehu_solapur,Dehu Road,2,777,1,3,0,0,0,0,0,0,0,47.71
dehu_solapur,Ravet,3,1604,2,10,1,1,1,1,1,0,5,122.08
kolhapur_nashik,Sinhagad Road,2,890,1,8,1,0,1,0,1,1,4,79.74
dehu_solapur,Loni Kalbhor,3,1396,2,16,0,1,0,0,1,0,2,74.64
kolhapur_nashik,Bhosari,2,981,1,21,1,1,1,0,0,1,4,69.29
dehu_solapur,Baner,1,639,1,20,0,0,0,1,1,1,3,70.4
kolhapur_nashik,Hinjewadi,3,1718,3,11,0,0,0,0,1,1,2,169.1
dehu_solapur,Baner,2,1077,2,19,1,0,1,1,0,1,4,123.18
dehu_solapur,Ravet,1,479,1,2,1,1,0,0,0,0,2,37.72
dehu_solapur,Uruli Kanchan,2,1032,2,20,0,1,0,1,0,1,3,52.19
kolhapur_nashik,Khed Shivapur,2,956,1,0,0,0,0,1,1,0,2,55.6
kolhapur_nashik,Alandi,2,804,2,17,1,1,1,1,1,1,6,61.14
dehu_solapur,Ravet,3,1131,2,18,0,0,1,0,0,1,2,78.78
kolhapur_nashik,Alandi,4,2443,3,21,0,0,1,1,1,1,4,133.1
kolhapur_nashik,Chakan,4,1978,3,22,0,0,0,1,1,1,3,112.79
dehu_solapur,Dehu Road,3,1399,2,21,0,1,0,0,1,0,2,72.87
dehu_solapur,Baner,3,1857,2,10,1,1,1,1,1,1,6,208.04
dehu_solapur,Hadapsar,2,918,2,18,0,0,1,0,0,1,2,81.21
dehu_solapur,Ravet,2,892,1,22,0,1,0,1,0,1,3,68.06
kolhapur_nashik,Chakan,2,852,1,5,1,1,1,1,1,0,5,43.21
kolhapur_nashik,Moshi,2,975,1,3,0,0,1,1,1,1,4,52.05
dehu_solapur,Loni Kalbhor,1,619,1,10,1,1,1,1,1,1,6,37.73
dehu_solapur,Manjri,1,546,1,11,1,1,1,1,0,1,5,46.42
kolhapur_nashik,Alandi,2,903,2,19,0,0,1,0,0,1,2,46.49
dehu_solapur,Loni Kalbhor,3,1312,3,2,1,1,0,1,1,0,4,73.19
dehu_solapur,Loni Kalbhor,3,1501,3,7,1,0,1,0,0,1,3,90.01
kolhapur_nashik,Bhosari,2,1155,1,10,0,1,0,1,1,1,4,66.38
kolhapur_nashik,Balewadi,2,1082,1,14,1,1,1,0,0,0,3,125.39
kolhapur_nashik,Balewadi,2,877,1,7,0,1,0,0,0,0,1,84.17
dehu_solapur,Wakad,2,1155,2,6,0,0,0,1,1,1,3,103.52
kolhapur_nashik,Chakan,4,1700,4,6,1,0,0,1,1,0,3,107.45
kolhapur_nashik,Balewadi,4,2307,4,22,1,1,0,1,0,1,4,241.64
dehu_solapur,Wakad,2,1031,1,7,1,1,0,0,0,0,2,76.12
dehu_solapur,Loni Kalbhor,3,1239,2,10,1,0,1,0,1,0,3,52.36
kolhapur_nashik,Alandi,1,608,1,9,0,1,1,1,1,0,4,31.93
dehu_solapur,Manjri,4,2113,4,20,1,0,1,0,0,1,3,172.06
kolhapur_nashik,Moshi,2,920,2,16,0,1,0,1,0,1,3,53.83
dehu_solapur,Kiwale,3,1351,3,7,1,0,1,0,1,0,3,75.28
dehu_solapur,Loni Kalbhor,3,1301,2,13,0,1,1,1,1,0,4,67.92
dehu_solapur,Ravet,2,1049,2,0,1,1,0,0,1,1,4,65.36
dehu_solapur,Hadapsar,2,814,1,2,0,1,0,0,0,0,1,48.95
dehu_solapur,Manjri,3,1459,2,1,0,0,1,0,1,1,3,100.95
kolhapur_nashik,Khed Shivapur,2,1071,2,2,0,0,1,0,1,0,2,63.98
dehu_solapur,Uruli Kanchan,2,788,2,21,0,0,1,1,1,1,4,41.17
kolhapur_nashik,Khed Shivapur,2,1016,2,22,1,1,1,1,0,1,5,72.68
kolhapur_nashik,Khed Shivapur,2,996,2,1,1,0,1,0,1,1,4,43.69
kolhapur_nashik,Moshi,3,1156,2,1,1,0,1,1,1,1,5,69.16
kolhapur_nashik,Hinjewadi,3,1606,2,8,1,0,1,0,1,1,4,144.28
kolhapur_nashik,Bhosari,1,592,1,11,1,1,0,1,0,1,4,38.04
kolhapur_nashik,Alandi,3,1544,2,7,1,1,1,0,0,1,4,96.47
dehu_solapur,Baner,2,974,1,13,1,0,1,1,1,0,4,97.19
kolhapur_nashik,Bhosari,3,1321,2,2,0,1,0,1,1,1,4,78.89
kolhapur_nashik,Alandi,2,1075,2,1,1,0,1,0,1,0,3,63.4
dehu_solapur,Baner,2,757,1,9,1,1,1,0,1,1,5,85.14
kolhapur_nashik,Chakan,1,513,1,0,0,1,1,1,1,0,4,27.02
kolhapur_nashik,Moshi,3,1391,2,1,1,0,1,0,0,0,2,76.5
dehu_solapur,Uruli Kanchan,2,958,1,5,0,0,1,1,0,1,3,43.66
dehu_solapur,Dehu Road,2,883,2,14,1,0,0,1,1,1,4,54.31
kolhapur_nashik,Sinhagad Road,3,1394,2,4,0,1,1,1,0,1,4,124.31
dehu_solapur,Baner,4,2326,4,23,0,1,0,0,1,0,2,221.79
dehu_solapur,Uruli Kanchan,4,1981,4,5,1,0,0,1,0,1,3,94.89
kolhapur_nashik,Sinhagad Road,3,1405,3,1,1,0,0,0,1,0,2,138.3
dehu_solapur,Manjri,2,975,2,1,1,0,0,1,0,0,2,60.41
kolhapur_nashik,Bhosari,3,1274,3,17,0,0,0,0,1,0,1,81.05
kolhapur_nashik,Sinhagad Road,1,387,1,1,1,0,1,1,1,0,4,30.62
dehu_solapur,Wakad,3,1359,2,14,1,0,1,1,0,1,4,110.46
dehu_solapur,Dehu Road,3,1463,2,14,1,1,1,1,1,1,6,92.52
dehu_solapur,Baner,4,2509,3,5,1,1,0,1,1,1,5,311.7
dehu_solapur,Hadapsar,2,903,1,24,0,0,1,1,1,1,4,96.03
kolhapur_nashik,Sinhagad Road,3,1584,2,0,0,1,1,0,1,0,3,132.79
dehu_solapur,Hadapsar,3,1423,2,6,0,1,0,0,0,0,1,118.05
kolhapur_nashik,Alandi,2,926,1,8,1,1,0,0,0,1,3,52.99
dehu_solapur,Loni Kalbhor,3,1589,2,22,1,1,1,0,1,1,5,84.74
dehu_solapur,Hadapsar,1,529,1,20,0,0,1,1,1,0,3,34.56
kolhapur_nashik,Alandi,3,1760,3,1,0,0,0,1,1,1,3,104.63
dehu_solapur,Loni Kalbhor,2,1149,2,13,1,1,1,1,1,1,6,82.52
kolhapur_nashik,Moshi,2,1166,1,1,0,1,0,0,1,1,3,67.73
dehu_solapur,Uruli Kanchan,2,1027,1,21,1,1,0,0,1,0,3,46.38
kolhapur_nashik,Balewadi,2,1105,2,17,0,1,1,1,0,1,4,117.03
kolhapur_nashik,Balewadi,4,2134,3,6,1,1,1,0,1,1,5,248.17
dehu_solapur,Manjri,2,825,1,0,0,1,1,0,1,0,3,54.07
dehu_solapur,Kiwale,3,1436,3,7,0,0,0,0,0,0,0,83.84
dehu_solapur,Hadapsar,2,1063,1,8,0,0,1,1,1,0,3,93.44
kolhapur_nashik,Moshi,2,931,2,6,1,1,1,1,0,1,5,53.07
dehu_solapur,Hadapsar,1,525,1,2,1,0,0,1,1,0,3,39.94
dehu_solapur,Wakad,3,1522,2,11,0,1,1,1,0,0,3,144.06
dehu_solapur,Baner,2,942,1,1,1,0,1,0,0,1,3,83.49
kolhapur_nashik,Sinhagad Road,2,832,1,6,0,1,1,0,1,1,4,74.57
kolhapur_nashik,Alandi,2,940,1,12,0,0,0,1,1,0,2,55.91
kolhapur_nashik,Alandi,3,1245,3,3,1,0,1,0,1,0,3,63.15
kolhapur_nashik,Moshi,2,861,2,15,1,1,1,0,1,0,4,52.61
kolhapur_nashik,Sinhagad Road,2,1067,1,23,1,1,0,1,1,1,5,104.09
dehu_solapur,Uruli Kanchan,3,1217,2,16,0,0,1,0,1,0,2,56.55
dehu_solapur,Hadapsar,3,1701,2,19,1,1,0,1,0,1,4,142.8
dehu_solapur,Dehu Road,2,959,2,19,1,1,1,0,1,0,4,54.76
kolhapur_nashik,Balewadi,3,1434,2,20,0,0,0,1,1,1,3,140.71
kolhapur_nashik,Khed Shivapur,2,921,1,19,1,0,0,1,0,0,2,46.9
dehu_solapur,Dehu Road,1,514,1,23,1,0,1,1,0,1,4,36.63
kolhapur_nashik,Chakan,3,1421,3,13,1,0,0,1,0,0,2,72.0
dehu_solapur,Wakad,1,554,1,12,0,0,1,0,1,1,3,49.23
dehu_solapur,Baner,3,1626,2,24,1,0,1,0,0,1,3,152.59
kolhapur_nashik,Balewadi,3,1170,2,6,1,1,0,0,0,0,2,133.76
